TypeDescription,Manufacturer,Age,AssetCondition,Operations,MonthsToFailure
Physiologic Monitoring System,Nihon Kohden Corp,11,0,1,37.8
Infusion Pump,Koninklijke Philips N.V.,22,0,1,25.1
Sphygmomanometers,Omron Healthcare Co Ltd,15,0,2,31.0
Defibrillator,Physio-Control Inc,2,0,2,37.3
Ventilator,Nihon Kohden Corp,29,2,2,2.0
Defibrillator,Drager Medical AG & Co KGaA,24,2,1,2.0
Physiologic Monitoring System,Blease Medical Equipment Ltd,30,1,2,2.0
Infusion Pump,Baxter Healthcare Corp,21,0,1,24.2
Infusion Pump,Omron Healthcare Co Ltd,8,0,1,40.1
Radiographic System,Omron Healthcare Co Ltd,28,0,1,9.5
Infusion Pump,Koninklijke Philips N.V.,14,1,1,20.4
Radiographic System,Physio-Control Inc,4,2,1,15.3
Sphygmomanometers,Canon Inc (Toshiba Medical),22,0,1,28.8
Ventilator,Physio-Control Inc,12,0,1,28.0
Physiologic Monitoring System,Medtronic,13,1,2,15.5
Radiographic System,Medtronic,19,0,2,10.0
Ventilator,B. Braun Melsungen AG,14,0,2,22.1
Infusion Pump,Nihon Kohden Corp,15,1,1,20.1
Infusion Pump,Nihon Kohden Corp,22,1,2,2.0
Ventilator,Nihon Kohden Corp,12,0,2,28.0
Infusion Pump,B. Braun Melsungen AG,16,0,1,28.1
Sphygmomanometers,Welch Allyn Inc,22,2,1,2.0
Sphygmomanometers,GE Healthcare,7,0,1,49.6
Ventilator,Blease Medical Equipment Ltd,20,0,1,14.1
Radiographic System,Blease Medical Equipment Ltd,1,0,2,40.1
Radiographic System,Physio-Control Inc,4,0,2,35.6
Ventilator,Koninklijke Philips N.V.,5,0,1,39.3
Radiographic System,Drager Medical AG & Co KGaA,11,2,2,2.0
Radiographic System,Physio-Control Inc,17,0,2,18.2
Sphygmomanometers,Medtronic,29,0,2,14.9
Radiographic System,Omron Healthcare Co Ltd,21,1,1,2.0
Defibrillator,Siemens Healthineers,21,1,2,4.6
Physiologic Monitoring System,Med-Vantage Sdn Bhd,0,2,1,29.3
Infusion Pump,Baxter Healthcare Corp,29,2,2,2.0
Defibrillator,B. Braun Melsungen AG,16,0,1,24.9
Radiographic System,Datex-Ohmeda Inc,29,1,1,2.0
Sphygmomanometers,Siemens Healthineers,10,1,2,25.8
Ventilator,Drager Medical AG & Co KGaA,9,2,1,5.8
Radiographic System,Nihon Kohden Corp,18,1,1,7.2
Sphygmomanometers,Medtronic,13,2,1,15.1
Physiologic Monitoring System,Med-Vantage Sdn Bhd,25,1,2,2.3
Radiographic System,Canon Inc (Toshiba Medical),9,0,1,35.0
Ventilator,Medtronic,14,1,2,8.4
Sphygmomanometers,Medtronic,27,2,1,2.0
Sphygmomanometers,Nihon Kohden Corp,18,2,1,12.1
Sphygmomanometers,Datex-Ohmeda Inc,3,0,1,46.9
Physiologic Monitoring System,B. Braun Melsungen AG,1,1,1,37.0
Radiographic System,Siemens Healthineers,8,0,1,34.3
Physiologic Monitoring System,Nihon Kohden Corp,9,0,1,42.8
Infusion Pump,Drager Medical AG & Co KGaA,27,0,2,12.5
Infusion Pump,B. Braun Melsungen AG,10,0,2,38.8
Radiographic System,Drager Medical AG & Co KGaA,13,2,1,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,6,0,1,42.0
Ventilator,Datex-Ohmeda Inc,22,2,2,2.0
Sphygmomanometers,Baxter Healthcare Corp,14,0,1,36.0
Sphygmomanometers,Drager Medical AG & Co KGaA,21,0,1,27.5
Radiographic System,Nihon Kohden Corp,30,0,2,2.0
Infusion Pump,B. Braun Melsungen AG,18,0,2,24.6
Infusion Pump,Blease Medical Equipment Ltd,21,0,2,19.6
Sphygmomanometers,Medtronic,14,0,1,33.6
Radiographic System,Welch Allyn Inc,29,1,1,2.0
Physiologic Monitoring System,Physio-Control Inc,27,0,2,9.9
Infusion Pump,Canon Inc (Toshiba Medical),23,0,1,18.1
Physiologic Monitoring System,Medtronic,7,0,1,43.1
Infusion Pump,GE Healthcare,10,2,1,8.6
Infusion Pump,Baxter Healthcare Corp,28,2,1,2.0
Defibrillator,Baxter Healthcare Corp,8,1,2,12.0
Infusion Pump,Medtronic,14,0,2,25.2
Ventilator,Canon Inc (Toshiba Medical),0,0,2,43.9
Radiographic System,Blease Medical Equipment Ltd,29,2,1,2.0
Radiographic System,Siemens Healthineers,0,0,1,42.7
Physiologic Monitoring System,Datex-Ohmeda Inc,18,0,1,31.8
Infusion Pump,Drager Medical AG & Co KGaA,2,0,1,46.4
Ventilator,Nihon Kohden Corp,9,0,2,30.2
Physiologic Monitoring System,Baxter Healthcare Corp,7,0,1,45.8
Defibrillator,Medtronic,14,1,1,17.5
Physiologic Monitoring System,Medtronic,9,0,1,36.7
Physiologic Monitoring System,Datex-Ohmeda Inc,0,1,2,33.0
Infusion Pump,Blease Medical Equipment Ltd,28,0,1,21.4
Defibrillator,Datex-Ohmeda Inc,17,0,1,23.7
Physiologic Monitoring System,Koninklijke Philips N.V.,1,2,1,33.2
Ventilator,Blease Medical Equipment Ltd,18,0,2,20.9
Ventilator,Koninklijke Philips N.V.,12,2,1,5.7
Radiographic System,Siemens Healthineers,21,1,2,2.0
Defibrillator,Med-Vantage Sdn Bhd,0,0,2,40.8
Defibrillator,Welch Allyn Inc,1,2,1,20.5
Radiographic System,Welch Allyn Inc,28,0,2,2.0
Physiologic Monitoring System,Siemens Healthineers,15,2,1,7.3
Defibrillator,GE Healthcare,14,0,2,20.4
Ventilator,Med-Vantage Sdn Bhd,12,2,1,2.0
Ventilator,Blease Medical Equipment Ltd,15,0,1,28.8
Infusion Pump,Siemens Healthineers,16,1,1,13.7
Defibrillator,B. Braun Melsungen AG,20,1,1,10.7
Physiologic Monitoring System,Datex-Ohmeda Inc,28,2,2,2.0
Radiographic System,Canon Inc (Toshiba Medical),28,2,1,2.0
Radiographic System,Welch Allyn Inc,6,2,2,5.7
Physiologic Monitoring System,Blease Medical Equipment Ltd,23,2,1,2.0
Sphygmomanometers,Nihon Kohden Corp,25,0,2,16.7
Infusion Pump,B. Braun Melsungen AG,16,0,1,25.2
Radiographic System,Drager Medical AG & Co KGaA,6,0,1,35.7
Defibrillator,Med-Vantage Sdn Bhd,12,0,1,31.8
Infusion Pump,Medtronic,4,0,2,40.5
Defibrillator,Siemens Healthineers,25,1,1,3.4
Ventilator,Canon Inc (Toshiba Medical),16,0,1,22.8
Infusion Pump,Medtronic,2,1,1,32.7
Radiographic System,Blease Medical Equipment Ltd,6,0,2,28.7
Infusion Pump,Baxter Healthcare Corp,25,0,1,17.2
Infusion Pump,GE Healthcare,16,1,2,11.4
Infusion Pump,Baxter Healthcare Corp,6,1,1,36.7
Sphygmomanometers,GE Healthcare,20,1,2,14.6
Infusion Pump,Koninklijke Philips N.V.,0,1,2,35.2
Defibrillator,Med-Vantage Sdn Bhd,16,0,1,27.3
Ventilator,Medtronic,29,1,1,2.0
Physiologic Monitoring System,GE Healthcare,16,0,1,32.0
Infusion Pump,Omron Healthcare Co Ltd,10,0,1,38.4
Radiographic System,Welch Allyn Inc,24,0,1,12.9
Infusion Pump,Omron Healthcare Co Ltd,26,0,2,7.0
Radiographic System,Med-Vantage Sdn Bhd,28,0,1,6.7
Defibrillator,Omron Healthcare Co Ltd,2,2,2,13.8
Radiographic System,Physio-Control Inc,14,2,1,2.0
Physiologic Monitoring System,Welch Allyn Inc,28,0,2,9.2
Ventilator,B. Braun Melsungen AG,20,0,1,19.8
Radiographic System,Canon Inc (Toshiba Medical),10,0,1,32.9
Radiographic System,GE Healthcare,25,0,1,12.2
Ventilator,GE Healthcare,27,2,1,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,15,0,1,34.4
Infusion Pump,Medtronic,24,1,2,2.0
Radiographic System,Medtronic,21,0,2,13.0
Ventilator,Med-Vantage Sdn Bhd,27,2,1,2.0
Defibrillator,Omron Healthcare Co Ltd,8,0,1,35.6
Ventilator,Med-Vantage Sdn Bhd,23,1,1,2.0
Defibrillator,B. Braun Melsungen AG,23,0,1,20.9
Physiologic Monitoring System,Med-Vantage Sdn Bhd,0,1,1,40.3
Infusion Pump,Blease Medical Equipment Ltd,28,0,2,6.3
Ventilator,Welch Allyn Inc,24,0,2,10.3
Sphygmomanometers,Omron Healthcare Co Ltd,21,2,2,2.0
Radiographic System,Baxter Healthcare Corp,15,2,1,2.0
Physiologic Monitoring System,Physio-Control Inc,8,2,2,13.3
Ventilator,Nihon Kohden Corp,18,1,2,2.0
Radiographic System,Drager Medical AG & Co KGaA,11,2,1,2.0
Ventilator,Physio-Control Inc,18,0,1,18.7
Defibrillator,Medtronic,21,0,2,15.1
Ventilator,Canon Inc (Toshiba Medical),8,0,1,38.4
Sphygmomanometers,Nihon Kohden Corp,6,1,1,31.9
Ventilator,Koninklijke Philips N.V.,13,0,1,26.0
Ventilator,Siemens Healthineers,28,0,2,3.8
Sphygmomanometers,Canon Inc (Toshiba Medical),18,1,1,17.9
Physiologic Monitoring System,Omron Healthcare Co Ltd,18,2,2,2.0
Ventilator,GE Healthcare,1,0,2,37.6
Sphygmomanometers,Blease Medical Equipment Ltd,8,0,2,42.9
Radiographic System,Blease Medical Equipment Ltd,12,0,1,31.2
Defibrillator,B. Braun Melsungen AG,14,0,2,23.9
Defibrillator,Canon Inc (Toshiba Medical),2,0,1,48.5
Ventilator,B. Braun Melsungen AG,10,1,1,20.8
Physiologic Monitoring System,GE Healthcare,20,1,1,16.4
Physiologic Monitoring System,Omron Healthcare Co Ltd,13,1,1,20.4
Radiographic System,Canon Inc (Toshiba Medical),29,0,2,2.0
Ventilator,Siemens Healthineers,24,2,1,2.0
Defibrillator,Drager Medical AG & Co KGaA,7,0,1,37.7
Physiologic Monitoring System,Siemens Healthineers,17,1,1,17.5
Ventilator,Nihon Kohden Corp,18,2,2,2.0
Physiologic Monitoring System,Siemens Healthineers,15,0,2,32.4
Sphygmomanometers,Blease Medical Equipment Ltd,1,0,2,50.5
Physiologic Monitoring System,Nihon Kohden Corp,7,2,1,16.6
Defibrillator,Siemens Healthineers,21,0,1,19.7
Infusion Pump,Drager Medical AG & Co KGaA,5,1,2,30.8
Radiographic System,Canon Inc (Toshiba Medical),11,0,1,31.7
Radiographic System,Drager Medical AG & Co KGaA,14,1,1,17.0
Defibrillator,Medtronic,24,0,2,9.6
Physiologic Monitoring System,GE Healthcare,7,0,1,41.1
Ventilator,Drager Medical AG & Co KGaA,3,1,2,21.9
Physiologic Monitoring System,Nihon Kohden Corp,14,0,1,32.8
Defibrillator,Drager Medical AG & Co KGaA,27,0,1,9.2
Radiographic System,Medtronic,19,0,1,20.0
Physiologic Monitoring System,B. Braun Melsungen AG,24,0,1,21.6
Radiographic System,Nihon Kohden Corp,16,0,2,21.5
Ventilator,Medtronic,12,0,2,20.0
Radiographic System,Blease Medical Equipment Ltd,17,2,1,2.0
Radiographic System,Baxter Healthcare Corp,1,0,1,44.7
Infusion Pump,Baxter Healthcare Corp,12,1,2,18.4
Infusion Pump,Koninklijke Philips N.V.,12,0,2,30.5
Sphygmomanometers,Siemens Healthineers,21,0,1,30.9
Infusion Pump,GE Healthcare,14,2,1,5.3
Radiographic System,Datex-Ohmeda Inc,19,0,1,17.5
Defibrillator,Physio-Control Inc,28,2,2,2.0
Radiographic System,Medtronic,26,0,2,2.0
Defibrillator,B. Braun Melsungen AG,9,1,1,23.1
Defibrillator,Physio-Control Inc,28,1,2,2.0
Infusion Pump,B. Braun Melsungen AG,2,2,1,21.6
Physiologic Monitoring System,Blease Medical Equipment Ltd,18,1,1,13.8
Ventilator,Welch Allyn Inc,2,1,1,29.9
Infusion Pump,Welch Allyn Inc,21,0,2,16.7
Infusion Pump,Welch Allyn Inc,13,0,1,34.7
Physiologic Monitoring System,Physio-Control Inc,7,2,1,19.0
Ventilator,Med-Vantage Sdn Bhd,26,0,1,10.5
Radiographic System,Medtronic,22,0,1,14.5
Sphygmomanometers,Datex-Ohmeda Inc,29,1,1,5.3
Sphygmomanometers,Physio-Control Inc,3,0,2,46.0
Radiographic System,Medtronic,26,2,1,2.0
Infusion Pump,Drager Medical AG & Co KGaA,27,1,2,2.0
Ventilator,Blease Medical Equipment Ltd,19,1,1,10.5
Infusion Pump,Datex-Ohmeda Inc,10,2,1,14.5
Defibrillator,Welch Allyn Inc,25,0,1,11.2
Infusion Pump,Nihon Kohden Corp,30,0,1,10.6
Infusion Pump,Blease Medical Equipment Ltd,10,1,1,25.4
Radiographic System,B. Braun Melsungen AG,26,0,1,12.4
Radiographic System,Welch Allyn Inc,29,1,2,2.0
Radiographic System,Baxter Healthcare Corp,10,2,2,2.0
Sphygmomanometers,Siemens Healthineers,1,0,1,53.8
Defibrillator,Baxter Healthcare Corp,29,0,1,11.3
Radiographic System,Welch Allyn Inc,16,2,1,2.0
Ventilator,Blease Medical Equipment Ltd,8,0,1,38.7
Sphygmomanometers,Datex-Ohmeda Inc,27,1,1,4.0
Physiologic Monitoring System,Nihon Kohden Corp,30,0,2,9.7
Ventilator,B. Braun Melsungen AG,27,2,1,2.0
Ventilator,Med-Vantage Sdn Bhd,1,1,1,34.1
Radiographic System,Nihon Kohden Corp,28,1,1,2.0
Physiologic Monitoring System,Physio-Control Inc,23,2,1,2.0
Physiologic Monitoring System,Canon Inc (Toshiba Medical),14,0,2,28.2
Sphygmomanometers,B. Braun Melsungen AG,15,0,1,33.5
Physiologic Monitoring System,Welch Allyn Inc,24,2,1,2.0
Defibrillator,Physio-Control Inc,3,0,2,34.5
Radiographic System,Canon Inc (Toshiba Medical),7,1,1,21.3
Physiologic Monitoring System,Medtronic,8,2,2,12.4
Sphygmomanometers,Datex-Ohmeda Inc,25,1,2,4.5
Defibrillator,Omron Healthcare Co Ltd,25,1,1,2.5
Infusion Pump,Medtronic,4,2,2,18.9
Infusion Pump,Koninklijke Philips N.V.,15,2,1,5.2
Defibrillator,Nihon Kohden Corp,12,0,1,37.3
Sphygmomanometers,Omron Healthcare Co Ltd,29,0,1,19.2
Defibrillator,Physio-Control Inc,6,0,1,38.7
Radiographic System,Drager Medical AG & Co KGaA,25,1,2,2.0
Radiographic System,Medtronic,19,1,2,2.0
Infusion Pump,Koninklijke Philips N.V.,16,1,2,12.6
Physiologic Monitoring System,GE Healthcare,2,0,2,39.0
Sphygmomanometers,Omron Healthcare Co Ltd,4,1,1,40.4
Infusion Pump,Baxter Healthcare Corp,18,0,1,20.6
Physiologic Monitoring System,B. Braun Melsungen AG,11,1,1,25.3
Physiologic Monitoring System,Med-Vantage Sdn Bhd,28,1,1,2.0
Radiographic System,Med-Vantage Sdn Bhd,26,0,1,8.4
Ventilator,Koninklijke Philips N.V.,6,0,2,30.8
Ventilator,Datex-Ohmeda Inc,27,1,1,2.2
Defibrillator,Omron Healthcare Co Ltd,8,1,1,21.3
Radiographic System,Medtronic,30,0,1,7.3
Physiologic Monitoring System,Datex-Ohmeda Inc,27,2,2,2.0
Sphygmomanometers,Med-Vantage Sdn Bhd,5,1,2,25.2
Ventilator,Baxter Healthcare Corp,28,2,2,2.0
Physiologic Monitoring System,Drager Medical AG & Co KGaA,25,0,1,23.2
Ventilator,Nihon Kohden Corp,16,1,2,3.4
Ventilator,Nihon Kohden Corp,15,2,1,3.5
Ventilator,Welch Allyn Inc,22,1,2,2.0
Sphygmomanometers,Datex-Ohmeda Inc,30,1,1,3.3
Radiographic System,Blease Medical Equipment Ltd,2,0,1,41.6
Sphygmomanometers,Physio-Control Inc,20,0,1,29.9
Infusion Pump,Drager Medical AG & Co KGaA,25,0,2,11.1
Physiologic Monitoring System,Nihon Kohden Corp,3,0,1,47.4
Radiographic System,Drager Medical AG & Co KGaA,9,0,2,28.2
Radiographic System,Koninklijke Philips N.V.,4,0,1,39.2
Radiographic System,Drager Medical AG & Co KGaA,20,2,1,2.0
Radiographic System,Siemens Healthineers,21,0,1,14.9
Sphygmomanometers,Baxter Healthcare Corp,29,1,1,6.4
Radiographic System,Nihon Kohden Corp,9,2,1,7.6
Defibrillator,Drager Medical AG & Co KGaA,11,1,1,16.2
Physiologic Monitoring System,Datex-Ohmeda Inc,9,0,2,34.0
Radiographic System,GE Healthcare,28,1,1,2.0
Physiologic Monitoring System,Siemens Healthineers,12,1,2,16.6
Defibrillator,Siemens Healthineers,10,1,2,15.3
Defibrillator,Physio-Control Inc,21,1,2,3.7
Physiologic Monitoring System,Drager Medical AG & Co KGaA,15,2,1,5.9
Ventilator,Welch Allyn Inc,7,1,1,24.0
Infusion Pump,Physio-Control Inc,7,0,1,42.1
Ventilator,Canon Inc (Toshiba Medical),26,1,2,2.0
Ventilator,Physio-Control Inc,24,0,2,7.9
Sphygmomanometers,GE Healthcare,7,2,1,23.1
Ventilator,Koninklijke Philips N.V.,12,0,1,29.8
Radiographic System,Drager Medical AG & Co KGaA,26,0,2,6.6
Sphygmomanometers,Medtronic,1,2,1,31.9
Sphygmomanometers,Med-Vantage Sdn Bhd,29,1,2,2.0
Defibrillator,Nihon Kohden Corp,29,0,1,4.5
Ventilator,Physio-Control Inc,11,1,2,13.9
Defibrillator,Baxter Healthcare Corp,9,2,1,8.8
Physiologic Monitoring System,B. Braun Melsungen AG,11,0,1,42.2
Infusion Pump,Baxter Healthcare Corp,10,2,2,9.0
Sphygmomanometers,GE Healthcare,14,0,2,30.3
Physiologic Monitoring System,GE Healthcare,15,1,1,21.4
Physiologic Monitoring System,Datex-Ohmeda Inc,16,2,1,6.4
Radiographic System,Canon Inc (Toshiba Medical),25,0,2,2.2
Infusion Pump,Canon Inc (Toshiba Medical),1,0,2,46.9
Physiologic Monitoring System,Koninklijke Philips N.V.,17,0,2,23.9
Physiologic Monitoring System,Welch Allyn Inc,11,1,2,23.8
Infusion Pump,Nihon Kohden Corp,18,1,1,14.8
Infusion Pump,Omron Healthcare Co Ltd,25,1,1,9.6
Physiologic Monitoring System,Physio-Control Inc,22,0,2,19.5
Infusion Pump,Baxter Healthcare Corp,17,0,2,26.3
Physiologic Monitoring System,B. Braun Melsungen AG,29,0,1,13.1
Physiologic Monitoring System,GE Healthcare,16,0,1,32.1
Radiographic System,GE Healthcare,29,1,2,2.0
Ventilator,Koninklijke Philips N.V.,5,2,1,13.2
Physiologic Monitoring System,B. Braun Melsungen AG,24,1,1,4.6
Defibrillator,Blease Medical Equipment Ltd,14,0,1,25.9
Sphygmomanometers,B. Braun Melsungen AG,2,2,2,20.2
Ventilator,Koninklijke Philips N.V.,5,1,2,22.7
Ventilator,GE Healthcare,2,2,1,17.0
Ventilator,Nihon Kohden Corp,29,1,2,2.0
Radiographic System,Drager Medical AG & Co KGaA,28,0,2,2.2
Physiologic Monitoring System,Drager Medical AG & Co KGaA,0,0,1,54.7
Radiographic System,Koninklijke Philips N.V.,29,1,2,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,12,0,1,37.0
Radiographic System,Physio-Control Inc,27,0,1,7.5
Radiographic System,Koninklijke Philips N.V.,20,1,1,8.4
Sphygmomanometers,Nihon Kohden Corp,25,1,1,13.1
Defibrillator,Koninklijke Philips N.V.,13,1,1,17.5
Radiographic System,Siemens Healthineers,12,0,2,21.9
Sphygmomanometers,Canon Inc (Toshiba Medical),26,0,2,12.2
Infusion Pump,Baxter Healthcare Corp,3,1,2,27.4
Defibrillator,B. Braun Melsungen AG,6,2,1,8.8
Radiographic System,Welch Allyn Inc,21,1,1,2.0
Ventilator,Datex-Ohmeda Inc,9,2,1,9.2
Infusion Pump,Med-Vantage Sdn Bhd,6,1,1,30.6
Infusion Pump,Datex-Ohmeda Inc,20,1,1,18.3
Sphygmomanometers,B. Braun Melsungen AG,14,0,2,30.9
Infusion Pump,Welch Allyn Inc,14,1,2,14.2
Defibrillator,Omron Healthcare Co Ltd,3,1,1,33.3
Radiographic System,Nihon Kohden Corp,22,1,1,2.0
Radiographic System,Siemens Healthineers,22,1,2,2.0
Ventilator,Siemens Healthineers,5,1,1,27.7
Sphygmomanometers,Med-Vantage Sdn Bhd,23,0,2,19.6
Ventilator,GE Healthcare,19,1,2,2.4
Infusion Pump,Baxter Healthcare Corp,25,0,2,11.2
Ventilator,Drager Medical AG & Co KGaA,4,2,1,15.4
Defibrillator,Medtronic,19,0,2,15.3
Radiographic System,Nihon Kohden Corp,11,0,1,29.9
Infusion Pump,Med-Vantage Sdn Bhd,0,0,2,43.1
Ventilator,Medtronic,27,1,1,2.0
Sphygmomanometers,Blease Medical Equipment Ltd,7,0,1,51.0
Defibrillator,Medtronic,0,0,1,45.9
Defibrillator,B. Braun Melsungen AG,4,1,1,29.0
Ventilator,Med-Vantage Sdn Bhd,30,0,2,2.0
Radiographic System,Datex-Ohmeda Inc,21,2,2,2.0
Ventilator,Datex-Ohmeda Inc,5,2,2,9.7
Infusion Pump,Drager Medical AG & Co KGaA,28,1,1,2.7
Ventilator,Med-Vantage Sdn Bhd,20,0,2,14.7
Defibrillator,B. Braun Melsungen AG,2,1,1,31.4
Ventilator,Medtronic,14,0,2,22.1
Radiographic System,Welch Allyn Inc,4,1,2,20.8
Sphygmomanometers,Blease Medical Equipment Ltd,27,0,1,15.4
Physiologic Monitoring System,Omron Healthcare Co Ltd,23,2,2,2.0
Ventilator,Canon Inc (Toshiba Medical),13,0,1,29.9
Radiographic System,Physio-Control Inc,17,1,1,7.0
Radiographic System,Datex-Ohmeda Inc,15,1,1,12.6
Sphygmomanometers,Nihon Kohden Corp,5,1,1,32.6
Defibrillator,Welch Allyn Inc,24,0,2,9.6
Radiographic System,Nihon Kohden Corp,23,2,1,2.0
Radiographic System,GE Healthcare,13,1,1,14.5
Radiographic System,Med-Vantage Sdn Bhd,26,1,2,2.0
Radiographic System,Koninklijke Philips N.V.,23,0,2,10.1
Infusion Pump,Physio-Control Inc,7,1,2,26.1
Infusion Pump,Datex-Ohmeda Inc,30,0,2,4.9
Defibrillator,Blease Medical Equipment Ltd,28,0,2,6.0
Ventilator,Siemens Healthineers,6,0,1,35.0
Radiographic System,Datex-Ohmeda Inc,7,2,1,11.2
Sphygmomanometers,Welch Allyn Inc,12,0,1,37.7
Ventilator,GE Healthcare,5,0,1,40.5
Sphygmomanometers,Nihon Kohden Corp,17,1,2,10.9
Ventilator,Medtronic,1,1,1,28.7
Defibrillator,Siemens Healthineers,7,0,2,30.1
Radiographic System,B. Braun Melsungen AG,10,1,1,19.0
Radiographic System,Baxter Healthcare Corp,0,0,1,45.4
Physiologic Monitoring System,Medtronic,21,0,1,25.4
Sphygmomanometers,Baxter Healthcare Corp,28,0,2,12.3
Ventilator,Physio-Control Inc,5,2,2,2.0
Ventilator,Omron Healthcare Co Ltd,15,0,2,20.6
Infusion Pump,Koninklijke Philips N.V.,26,0,1,19.2
Physiologic Monitoring System,Omron Healthcare Co Ltd,19,0,2,29.0
Infusion Pump,Siemens Healthineers,11,2,1,10.6
Infusion Pump,Drager Medical AG & Co KGaA,10,0,1,36.3
Infusion Pump,Siemens Healthineers,28,0,2,10.4
Sphygmomanometers,Omron Healthcare Co Ltd,30,0,1,15.4
Sphygmomanometers,Datex-Ohmeda Inc,26,0,2,19.4
Defibrillator,Welch Allyn Inc,28,1,1,2.0
Defibrillator,Nihon Kohden Corp,9,1,2,17.2
Infusion Pump,Datex-Ohmeda Inc,2,0,2,45.6
Physiologic Monitoring System,Datex-Ohmeda Inc,12,0,1,37.2
Ventilator,Welch Allyn Inc,26,0,2,9.1
Sphygmomanometers,Welch Allyn Inc,2,0,1,51.3
Physiologic Monitoring System,Physio-Control Inc,30,0,2,11.2
Radiographic System,Medtronic,14,1,1,9.1
Sphygmomanometers,Drager Medical AG & Co KGaA,15,2,1,6.4
Sphygmomanometers,Drager Medical AG & Co KGaA,28,2,1,2.0
Defibrillator,Datex-Ohmeda Inc,12,2,1,6.4
Ventilator,Baxter Healthcare Corp,16,1,2,9.0
Ventilator,Physio-Control Inc,2,1,1,30.1
Radiographic System,Med-Vantage Sdn Bhd,19,0,1,19.3
Radiographic System,Med-Vantage Sdn Bhd,10,1,1,15.2
Sphygmomanometers,Blease Medical Equipment Ltd,26,1,1,8.6
Infusion Pump,Datex-Ohmeda Inc,20,1,2,10.9
Defibrillator,Koninklijke Philips N.V.,18,1,2,6.2
Defibrillator,Nihon Kohden Corp,21,0,1,21.4
Sphygmomanometers,Welch Allyn Inc,10,0,2,38.6
Physiologic Monitoring System,Medtronic,29,2,2,2.0
Infusion Pump,B. Braun Melsungen AG,30,0,1,14.1
Sphygmomanometers,Welch Allyn Inc,27,1,2,2.0
Infusion Pump,Koninklijke Philips N.V.,15,2,1,5.9
Infusion Pump,Baxter Healthcare Corp,20,1,2,12.7
Infusion Pump,Siemens Healthineers,2,1,2,32.4
Sphygmomanometers,Canon Inc (Toshiba Medical),21,0,1,26.1
Defibrillator,Siemens Healthineers,5,0,2,35.7
Defibrillator,Omron Healthcare Co Ltd,30,2,2,2.0
Infusion Pump,Koninklijke Philips N.V.,13,1,1,25.8
Physiologic Monitoring System,Omron Healthcare Co Ltd,23,1,2,4.7
Ventilator,Datex-Ohmeda Inc,17,0,1,28.4
Sphygmomanometers,B. Braun Melsungen AG,16,0,2,26.0
Ventilator,GE Healthcare,3,2,2,11.0
Physiologic Monitoring System,Welch Allyn Inc,22,0,1,21.5
Sphygmomanometers,GE Healthcare,14,1,1,23.1
Infusion Pump,Baxter Healthcare Corp,10,0,2,31.8
Defibrillator,Datex-Ohmeda Inc,25,1,1,2.0
Ventilator,Drager Medical AG & Co KGaA,2,2,1,21.7
Radiographic System,Welch Allyn Inc,2,1,1,32.5
Radiographic System,Omron Healthcare Co Ltd,15,0,1,25.5
Physiologic Monitoring System,Drager Medical AG & Co KGaA,4,1,1,33.1
Infusion Pump,Medtronic,20,1,1,10.8
Ventilator,Blease Medical Equipment Ltd,28,0,1,10.5
Infusion Pump,B. Braun Melsungen AG,9,2,2,10.1
Ventilator,Blease Medical Equipment Ltd,18,1,1,8.7
Physiologic Monitoring System,B. Braun Melsungen AG,24,2,1,2.0
Physiologic Monitoring System,Siemens Healthineers,3,1,1,37.8
Radiographic System,Physio-Control Inc,28,0,2,2.2
Infusion Pump,Welch Allyn Inc,28,0,1,12.6
Sphygmomanometers,Omron Healthcare Co Ltd,30,0,1,12.7
Radiographic System,Blease Medical Equipment Ltd,18,2,1,2.0
Infusion Pump,Baxter Healthcare Corp,10,1,2,25.9
Radiographic System,GE Healthcare,1,1,2,22.4
Sphygmomanometers,Med-Vantage Sdn Bhd,9,0,2,41.0
Defibrillator,Canon Inc (Toshiba Medical),28,0,2,3.9
Defibrillator,Baxter Healthcare Corp,10,1,2,15.3
Defibrillator,Drager Medical AG & Co KGaA,24,1,1,5.6
Defibrillator,Drager Medical AG & Co KGaA,19,0,2,16.7
Ventilator,Blease Medical Equipment Ltd,15,1,1,13.6
Defibrillator,Canon Inc (Toshiba Medical),18,0,2,19.2
Sphygmomanometers,Koninklijke Philips N.V.,22,0,2,19.7
Physiologic Monitoring System,Medtronic,23,1,1,11.8
Physiologic Monitoring System,Welch Allyn Inc,10,0,1,38.8
Ventilator,B. Braun Melsungen AG,13,2,1,2.0
Defibrillator,Nihon Kohden Corp,1,0,2,38.5
Defibrillator,Med-Vantage Sdn Bhd,22,0,2,5.6
Defibrillator,Omron Healthcare Co Ltd,27,0,2,7.0
Radiographic System,Baxter Healthcare Corp,4,1,1,29.6
Infusion Pump,Omron Healthcare Co Ltd,30,0,2,4.4
Radiographic System,Drager Medical AG & Co KGaA,26,1,2,2.0
Infusion Pump,Physio-Control Inc,4,0,2,41.9
Defibrillator,Siemens Healthineers,18,0,1,21.7
Defibrillator,GE Healthcare,20,0,1,24.8
Radiographic System,Medtronic,11,2,2,2.0
Radiographic System,Physio-Control Inc,17,2,2,2.0
Infusion Pump,Medtronic,3,0,2,38.0
