ScannerAge,OperatingHours,ScansPerformed,DaysSinceMaintenance,TubeWear,HeatLoad,TubeArcs,FilamentCurrent,FocalSpotDrift,GantryVibration,BearingTemperature,DetectorTemperature,DetectorDropouts,SNR,CoolantFlow,CoolantTemperature,ChillerCycles,Voltage,UPSHealth,WarningCodes,ErrorCodes,HealthScore,RULDays,FailureProbability,ComponentAtRisk
7.9,15720.0,50280.0,110,67.4,59.9,14,4.73,0.71,0.56,46.7,30.9,0,25.2,6.7,33.4,95,386.5,72.2,15,1,18.6,61.0,0.8,X-Ray Tube Anode
5.8,13182.0,37706.0,37,52.4,48.3,10,4.76,0.57,0.48,39.4,27.2,3,26.5,7.1,31.4,95,404.9,80.1,10,1,28.7,104.0,0.7,X-Ray Tube Anode
6.8,13447.0,43092.0,21,54.1,64.7,10,4.79,0.62,0.44,40.5,27.0,1,28.3,5.8,36.4,102,413.6,74.0,6,2,28.8,99.0,0.7,X-Ray Tube Anode
11.3,27834.0,88601.0,14,98.0,78.8,20,5.49,0.99,0.77,49.8,29.1,1,22.4,7.0,36.3,98,394.1,60.7,17,3,5.0,19.0,0.98,X-Ray Tube Anode
4.9,11093.0,37419.0,91,42.1,56.7,12,4.71,0.54,0.22,40.6,27.2,0,27.6,5.9,30.5,88,408.7,82.6,9,0,41.9,143.0,0.61,X-Ray Tube Anode
11.6,23421.0,71087.0,60,98.0,87.6,20,5.3,0.99,0.73,53.5,30.6,0,21.1,5.3,42.8,117,407.0,60.6,17,4,5.0,25.0,0.96,X-Ray Tube Anode
10.9,21699.0,59595.0,124,97.8,78.5,22,5.36,0.94,0.65,51.5,31.8,2,25.1,4.7,41.3,106,402.2,61.9,19,4,5.0,24.0,0.98,X-Ray Tube Anode
2.8,5321.0,17322.0,23,13.9,27.7,2,4.21,0.2,0.13,39.7,28.2,0,30.3,7.4,19.7,63,401.5,90.5,3,3,63.1,214.0,0.38,High Voltage Power Supply
1.3,2967.0,11111.0,111,26.0,31.9,5,4.67,0.36,0.04,35.7,27.0,0,29.6,6.5,27.5,77,397.0,93.2,6,4,52.4,180.0,0.5,High Voltage Power Supply
1.7,3240.0,11327.0,124,10.5,29.9,2,4.21,0.11,0.19,44.3,23.9,0,32.5,6.8,25.5,70,407.2,95.2,2,0,69.8,244.0,0.3,Coolant Loop Unit
0.7,1573.0,4730.0,157,22.2,39.2,2,4.3,0.23,0.01,37.3,25.7,0,31.1,6.3,29.4,83,405.3,97.1,4,0,67.1,222.0,0.33,Coolant Loop Unit
1.6,3149.0,12291.0,175,10.3,26.9,3,4.45,0.19,0.16,39.1,24.5,1,30.8,6.0,24.7,76,395.4,92.5,3,1,67.7,232.0,0.32,Coolant Loop Unit
8.4,18910.0,73148.0,30,81.3,67.7,16,5.26,0.88,0.62,50.4,30.7,2,24.6,6.6,38.3,106,387.3,67.4,16,3,5.0,15.0,0.93,X-Ray Tube Anode
1.3,3126.0,8796.0,115,18.1,35.8,4,4.16,0.33,0.18,37.7,28.7,1,30.1,6.2,29.8,96,393.7,96.9,5,0,65.5,230.0,0.34,Coolant Loop Unit
4.2,9773.0,25010.0,90,36.0,52.0,6,4.76,0.41,0.28,41.0,27.5,1,30.4,6.5,28.7,90,391.5,86.9,3,1,52.6,181.0,0.48,Coolant Loop Unit
10.2,23830.0,86073.0,38,95.9,91.5,21,5.24,1.02,0.59,41.6,35.3,10,22.9,5.0,40.9,107,399.6,62.9,17,5,5.0,8.0,0.94,X-Ray Tube Anode
0.8,1483.0,5547.0,83,17.4,38.8,3,4.35,0.26,0.14,36.8,29.8,2,29.6,6.1,28.7,89,403.8,92.5,4,0,61.1,206.0,0.4,Coolant Loop Unit
9.9,18370.0,72594.0,27,70.9,63.6,14,5.08,0.66,0.64,54.3,29.1,1,25.6,6.1,33.6,99,403.1,68.9,13,0,16.0,61.0,0.83,X-Ray Tube Anode
3.7,8565.0,32844.0,104,30.9,49.4,7,4.66,0.38,0.23,40.6,27.4,1,29.0,6.0,33.6,89,403.7,89.9,6,0,50.0,174.0,0.48,Coolant Loop Unit
1.9,3825.0,13009.0,116,6.1,20.7,6,4.34,0.12,0.19,39.6,23.9,1,32.5,6.5,21.7,66,401.5,99.7,5,1,60.1,199.0,0.4,Coolant Loop Unit
8.5,17899.0,58978.0,15,84.1,69.2,19,5.2,0.9,0.65,52.4,30.4,1,24.1,6.0,38.4,109,399.8,63.6,19,8,5.0,12.0,0.91,X-Ray Tube Anode
7.7,14088.0,35808.0,3,52.5,63.6,10,4.77,0.57,0.45,46.0,29.1,0,27.3,6.2,29.8,87,399.5,71.1,6,4,28.0,96.0,0.74,X-Ray Tube Anode
10.6,20988.0,60235.0,10,93.6,94.3,20,5.38,0.88,0.58,45.4,34.6,1,19.9,5.4,42.4,116,409.9,59.7,18,3,5.0,17.0,0.96,X-Ray Tube Anode
9.0,16327.0,52074.0,120,60.5,65.5,10,4.91,0.57,0.57,47.6,27.5,0,25.9,5.6,38.5,104,396.1,62.3,12,0,23.8,80.0,0.78,X-Ray Tube Anode
9.7,23526.0,80996.0,145,98.0,83.2,21,5.65,0.98,0.62,45.2,31.2,0,25.0,4.6,41.1,113,398.2,65.1,18,5,5.0,15.0,0.96,X-Ray Tube Anode
3.7,7376.0,24605.0,128,36.0,40.2,9,4.72,0.3,0.14,38.7,27.3,1,27.9,5.8,29.3,80,382.7,86.6,6,3,44.6,149.0,0.55,Coolant Loop Unit
2.5,5564.0,20109.0,11,20.4,33.6,3,4.31,0.26,0.26,38.3,27.3,1,30.0,7.2,27.8,83,395.7,89.9,3,2,57.1,205.0,0.43,Coolant Loop Unit
9.1,16687.0,48720.0,176,60.9,70.6,12,4.86,0.66,0.46,48.0,33.8,0,25.3,5.2,38.5,102,397.6,62.2,9,1,20.3,67.0,0.8,X-Ray Tube Anode
9.8,22166.0,74199.0,133,83.4,71.4,16,5.21,0.8,0.62,47.0,28.6,1,24.5,4.8,37.8,108,409.6,66.6,15,5,5.0,14.0,0.92,X-Ray Tube Anode
11.9,24092.0,63416.0,69,91.0,90.2,20,5.49,0.97,0.64,46.7,31.9,0,22.3,4.7,45.5,125,389.3,53.8,17,7,5.0,20.0,0.95,X-Ray Tube Anode
5.2,12738.0,39749.0,64,59.5,57.5,14,5.13,0.69,0.35,42.4,25.5,1,29.0,5.5,34.1,98,399.0,83.8,11,0,26.4,89.0,0.73,X-Ray Tube Anode
4.8,11571.0,41949.0,14,47.6,59.5,8,4.71,0.48,0.47,46.5,27.5,0,26.4,6.2,34.7,103,398.8,85.3,7,0,36.1,118.0,0.68,X-Ray Tube Anode
9.4,19119.0,67682.0,50,67.6,75.7,12,4.87,0.69,0.69,46.6,28.4,1,23.0,6.0,39.8,119,405.1,67.2,13,1,11.6,38.0,0.88,X-Ray Tube Anode
4.4,10742.0,42816.0,154,40.9,47.2,8,4.53,0.52,0.48,44.0,26.9,1,30.6,5.4,26.5,72,396.3,82.3,6,0,41.4,140.0,0.58,X-Ray Tube Anode
11.2,27979.0,81611.0,72,98.0,85.9,22,5.41,0.98,0.88,54.7,32.0,1,20.6,5.1,39.9,107,404.9,60.2,19,6,5.0,19.0,0.93,X-Ray Tube Anode
10.4,24662.0,80084.0,69,81.5,83.1,16,5.52,0.76,0.74,55.4,32.7,2,24.8,5.1,39.5,111,402.0,60.9,17,3,5.0,19.0,0.94,X-Ray Tube Anode
5.4,12994.0,38907.0,135,50.4,55.9,11,4.89,0.55,0.28,33.6,28.3,4,26.9,5.4,34.9,102,393.9,81.9,9,1,31.2,101.0,0.65,X-Ray Tube Anode
9.1,18035.0,57008.0,127,77.9,78.2,19,4.9,0.76,0.52,48.2,32.1,1,26.4,5.5,42.6,108,391.1,71.3,19,3,5.0,20.0,0.98,X-Ray Tube Anode
9.2,20224.0,76556.0,16,79.8,78.3,18,5.05,0.87,0.76,50.6,31.6,1,23.8,5.8,35.0,93,416.7,70.8,15,4,5.0,21.0,0.96,X-Ray Tube Anode
1.7,3114.0,10981.0,78,14.5,23.2,2,4.28,0.26,0.1,35.7,23.2,1,31.1,6.6,23.4,82,395.7,93.2,4,0,70.6,235.0,0.29,Coolant Loop Unit
10.9,20306.0,77642.0,101,85.1,86.5,18,5.1,0.85,0.71,48.6,29.8,2,25.6,4.3,44.5,120,386.5,65.2,19,5,5.0,13.0,0.96,X-Ray Tube Anode
6.3,15771.0,44242.0,56,60.3,56.2,11,4.87,0.65,0.47,44.4,29.6,1,28.1,5.8,29.7,90,396.4,77.9,7,1,32.0,108.0,0.66,X-Ray Tube Anode
10.0,20295.0,77325.0,105,87.0,89.6,18,5.3,0.82,0.38,45.2,35.2,2,24.9,4.3,43.9,117,394.6,57.0,12,4,5.0,18.0,0.95,X-Ray Tube Anode
4.2,9715.0,25157.0,132,50.5,50.4,9,4.91,0.52,0.36,41.3,31.8,1,22.6,6.1,32.4,88,390.7,88.3,6,2,34.7,119.0,0.63,X-Ray Tube Anode
10.8,25535.0,97873.0,48,89.9,87.6,18,5.44,0.99,0.83,58.3,33.9,2,19.7,5.2,42.8,124,399.7,61.8,15,4,5.0,17.0,0.92,X-Ray Tube Anode
5.0,11945.0,35759.0,17,45.0,47.2,12,4.82,0.51,0.36,44.9,29.9,2,25.8,6.9,27.7,81,401.5,83.0,11,2,29.0,91.0,0.73,X-Ray Tube Anode
0.6,1561.0,4638.0,111,24.9,33.8,4,4.21,0.37,0.19,39.8,26.7,1,28.3,6.4,27.0,78,383.9,95.6,4,1,57.0,199.0,0.43,Coolant Loop Unit
10.9,21486.0,70219.0,164,87.3,77.3,19,5.09,0.9,0.49,45.3,31.7,2,22.8,4.6,37.3,110,401.0,64.8,18,3,5.0,12.0,0.92,X-Ray Tube Anode
1.5,2833.0,11082.0,70,11.1,32.7,4,4.31,0.27,0.01,38.9,26.1,3,31.4,7.2,28.1,78,405.9,91.4,6,0,67.5,236.0,0.31,Coolant Loop Unit
4.2,8711.0,22401.0,80,32.8,44.1,8,4.62,0.3,0.3,45.6,27.1,0,29.5,6.8,27.1,81,392.3,88.1,5,2,44.8,158.0,0.58,X-Ray Tube Anode
11.4,21607.0,65432.0,93,96.6,95.3,26,5.49,0.96,0.66,46.1,34.3,1,22.8,5.4,43.5,122,389.3,56.1,22,4,5.0,11.0,0.94,X-Ray Tube Anode
11.4,20757.0,78562.0,38,75.5,69.0,15,5.11,0.86,0.71,48.6,29.5,2,24.1,5.6,40.8,115,391.7,59.8,14,5,5.0,19.0,0.96,X-Ray Tube Anode
7.1,14560.0,45050.0,101,65.6,69.8,15,5.0,0.74,0.49,47.7,30.2,0,25.6,5.3,39.4,114,395.8,78.3,10,1,19.7,74.0,0.79,X-Ray Tube Anode
7.8,18240.0,51048.0,62,70.7,74.6,14,5.08,0.8,0.44,47.5,29.2,1,25.5,5.7,34.4,103,399.5,76.3,8,1,22.1,78.0,0.78,X-Ray Tube Anode
5.7,12425.0,38979.0,121,43.7,43.6,8,4.69,0.49,0.4,42.9,27.9,0,28.1,6.7,28.6,82,390.7,81.8,6,1,44.0,141.0,0.57,X-Ray Tube Anode
3.9,7817.0,24064.0,48,29.4,38.6,6,4.57,0.34,0.31,39.5,25.2,1,29.3,6.6,28.2,79,396.4,88.8,3,3,48.1,163.0,0.51,Coolant Loop Unit
4.3,9664.0,37428.0,10,38.3,46.5,6,4.83,0.39,0.16,38.7,27.6,3,29.0,7.3,28.9,85,398.0,86.8,7,0,54.6,190.0,0.45,X-Ray Tube Anode
8.2,16158.0,58864.0,36,60.7,59.6,11,4.92,0.59,0.48,49.9,29.9,3,24.6,6.0,34.6,98,400.9,68.9,7,2,22.3,84.0,0.78,X-Ray Tube Anode
9.2,16566.0,53968.0,157,75.2,69.1,19,5.1,0.82,0.46,45.4,31.2,1,27.2,5.4,38.1,110,388.0,68.5,11,3,5.0,16.0,0.94,X-Ray Tube Anode
9.6,22424.0,89304.0,4,83.8,82.4,17,5.2,0.88,0.6,44.3,33.0,1,22.1,5.9,43.4,118,393.2,66.2,16,5,5.0,9.0,0.95,X-Ray Tube Anode
9.6,21428.0,68526.0,44,86.8,75.1,17,5.44,0.88,0.66,49.9,30.7,1,24.4,5.3,37.5,106,393.7,68.8,18,3,5.0,28.0,0.93,X-Ray Tube Anode
1.5,3614.0,9352.0,56,18.8,37.3,3,4.26,0.29,0.05,38.5,27.2,0,29.9,6.8,29.0,86,412.1,97.1,3,0,68.1,231.0,0.32,Coolant Loop Unit
6.2,11303.0,32705.0,42,46.3,61.1,13,5.02,0.52,0.38,43.2,28.6,0,27.0,6.4,33.5,97,407.7,77.5,11,1,29.9,109.0,0.72,X-Ray Tube Anode
1.2,2772.0,8744.0,114,17.3,33.4,6,4.23,0.3,0.17,42.5,23.1,0,29.4,5.3,31.2,84,398.6,94.7,5,1,58.7,198.0,0.39,Coolant Loop Unit
6.8,15233.0,41667.0,141,57.5,62.5,11,4.79,0.66,0.54,49.5,30.3,1,25.5,5.7,35.7,99,387.1,78.3,11,1,24.1,85.0,0.74,X-Ray Tube Anode
5.6,12239.0,47995.0,174,53.9,49.1,9,4.96,0.53,0.29,41.1,28.3,2,26.8,4.9,32.5,91,406.1,78.9,7,0,36.2,120.0,0.6,X-Ray Tube Anode
10.7,23958.0,87452.0,161,98.0,95.9,21,5.53,1.0,0.57,47.6,35.0,5,20.8,4.0,44.4,110,408.5,64.9,18,3,5.0,14.0,0.96,X-Ray Tube Anode
4.5,10908.0,31661.0,21,51.4,51.7,8,4.61,0.48,0.36,37.5,28.2,2,28.5,6.6,29.6,87,398.4,83.6,5,1,37.5,137.0,0.59,X-Ray Tube Anode
1.8,4082.0,13822.0,79,5.0,25.8,0,4.1,0.15,0.14,41.6,22.7,2,35.3,5.9,27.3,81,395.2,90.9,1,2,67.4,234.0,0.34,Coolant Loop Unit
2.1,4732.0,16951.0,69,23.0,45.7,7,4.52,0.34,0.41,43.0,27.3,2,29.9,6.2,28.6,76,393.5,90.4,6,0,51.4,175.0,0.5,Coolant Loop Unit
9.3,23083.0,90299.0,70,98.0,90.5,19,5.73,0.92,0.7,49.2,34.2,1,22.7,5.2,38.7,118,404.5,58.1,16,5,5.0,22.0,0.97,X-Ray Tube Anode
7.6,17728.0,67764.0,67,67.6,71.8,11,5.2,0.69,0.53,45.0,31.3,1,27.0,6.4,34.6,97,404.0,72.2,14,2,18.2,58.0,0.83,X-Ray Tube Anode
1.7,3508.0,11481.0,48,9.6,25.7,4,4.28,0.19,0.13,39.2,24.9,2,30.2,7.6,24.1,68,390.5,95.1,4,0,66.8,227.0,0.3,Coolant Loop Unit
1.5,3368.0,12332.0,161,7.9,16.7,1,3.93,0.18,0.04,32.5,21.5,1,35.6,7.0,19.7,58,392.3,100.0,1,0,80.4,274.0,0.19,Coolant Loop Unit
8.6,17743.0,59318.0,36,62.7,69.9,12,4.96,0.65,0.57,44.5,28.8,0,24.4,5.1,35.8,101,390.5,67.2,15,0,22.5,73.0,0.78,X-Ray Tube Anode
1.3,2620.0,8723.0,161,15.8,21.8,4,4.44,0.18,0.11,37.3,25.3,2,31.1,6.3,20.3,60,413.2,93.3,4,0,68.8,229.0,0.32,Coolant Loop Unit
10.0,22070.0,58974.0,159,98.0,92.6,22,5.32,0.98,0.63,47.0,30.6,1,24.0,4.9,41.6,129,401.2,62.2,17,4,5.0,8.0,0.96,X-Ray Tube Anode
8.6,21121.0,56799.0,149,80.0,66.5,16,5.03,0.74,0.62,49.7,29.5,0,27.1,5.5,39.5,113,407.8,66.5,13,5,5.0,12.0,0.94,X-Ray Tube Anode
1.4,3518.0,11588.0,27,10.3,34.5,6,4.35,0.18,0.16,36.8,26.2,1,31.3,7.0,25.4,72,400.0,95.7,9,1,56.5,201.0,0.43,Coolant Loop Unit
1.5,3009.0,8737.0,72,12.2,21.7,4,4.2,0.19,0.01,40.0,26.3,1,31.3,7.3,22.9,67,402.2,92.7,3,1,69.6,228.0,0.3,Coolant Loop Unit
11.8,25699.0,65059.0,101,90.0,83.3,17,5.56,0.9,0.8,54.7,32.9,0,25.4,5.4,44.9,121,396.6,55.4,15,4,5.0,17.0,0.92,X-Ray Tube Anode
4.8,9359.0,33545.0,96,31.9,44.3,9,4.81,0.36,0.23,42.1,28.8,1,26.6,6.7,30.1,87,410.6,83.4,5,2,46.3,158.0,0.52,X-Ray Tube Anode
4.8,11891.0,30308.0,128,47.1,52.1,9,4.86,0.45,0.36,41.0,28.7,1,26.1,5.7,32.9,96,401.5,84.0,5,0,45.9,155.0,0.54,X-Ray Tube Anode
9.8,24488.0,83085.0,26,90.8,80.4,20,5.3,0.9,0.81,59.9,30.4,0,21.8,5.6,37.6,113,398.4,62.4,17,5,5.0,21.0,0.93,X-Ray Tube Anode
11.4,25688.0,84997.0,66,98.0,88.0,20,5.28,1.03,0.88,53.0,31.6,2,21.0,5.3,42.1,119,384.1,62.4,20,4,5.0,16.0,0.92,X-Ray Tube Anode
11.8,27977.0,110598.0,140,98.0,84.8,21,5.37,1.05,0.66,47.4,30.8,1,21.5,5.0,44.7,120,403.2,62.6,18,4,5.0,22.0,0.92,X-Ray Tube Anode
9.2,21082.0,68018.0,22,91.5,82.8,17,5.54,1.05,0.61,50.6,32.8,2,24.7,5.5,37.8,103,403.1,69.1,15,3,5.0,20.0,0.96,X-Ray Tube Anode
4.8,10693.0,27752.0,17,54.5,55.3,11,4.98,0.68,0.36,43.4,27.6,1,29.6,5.8,32.6,98,409.1,83.7,9,0,35.7,115.0,0.65,X-Ray Tube Anode
1.5,2683.0,8928.0,7,13.8,31.0,2,4.4,0.16,0.01,32.8,25.1,1,31.9,7.4,23.0,73,396.5,87.0,1,2,67.7,236.0,0.33,Coolant Loop Unit
9.4,19991.0,75200.0,107,78.9,70.0,16,5.28,0.79,0.65,55.8,30.4,0,26.0,4.9,40.9,117,393.3,63.4,14,3,5.0,15.0,0.94,X-Ray Tube Anode
6.9,15728.0,62839.0,68,64.9,75.2,14,5.06,0.68,0.48,48.5,33.5,1,26.0,6.3,35.1,97,413.6,70.6,9,0,22.5,68.0,0.76,X-Ray Tube Anode
5.4,12232.0,38477.0,128,45.4,51.8,9,4.8,0.5,0.39,43.6,29.2,1,27.6,5.4,31.1,89,387.8,83.0,6,1,35.7,124.0,0.6,X-Ray Tube Anode
10.9,22514.0,67103.0,37,73.8,65.5,15,5.23,0.77,0.58,54.9,28.7,2,26.9,6.0,33.0,94,392.6,63.7,14,0,7.4,24.0,0.94,X-Ray Tube Anode
1.8,4374.0,16885.0,38,9.7,26.3,1,4.39,0.31,0.2,41.8,25.4,0,32.7,7.1,21.8,58,411.4,94.1,2,3,62.3,220.0,0.37,Coolant Loop Unit
6.2,11820.0,32940.0,96,47.2,60.4,9,4.9,0.47,0.43,44.5,31.7,0,27.7,5.6,34.7,99,406.7,76.7,6,0,41.0,145.0,0.6,X-Ray Tube Anode
0.6,1356.0,4641.0,139,5.0,13.9,2,4.28,0.11,0.1,44.0,24.6,0,32.4,7.2,20.6,60,397.1,96.0,3,0,76.5,256.0,0.22,Coolant Loop Unit
5.9,13450.0,41809.0,1,50.5,58.9,12,4.77,0.64,0.37,45.1,26.7,0,28.2,7.0,33.4,93,397.4,90.0,13,2,25.7,92.0,0.78,X-Ray Tube Anode
1.1,2625.0,6725.0,153,14.3,31.0,2,4.29,0.2,0.09,38.7,24.3,0,31.3,6.5,27.5,79,397.9,97.4,3,1,66.9,224.0,0.33,Coolant Loop Unit
1.9,4207.0,12709.0,42,18.0,26.0,5,4.32,0.28,0.18,37.8,23.6,0,28.8,7.7,20.4,69,406.2,92.2,5,2,61.5,201.0,0.38,Coolant Loop Unit
1.9,3690.0,10692.0,152,23.2,42.6,3,4.24,0.36,0.15,38.5,29.3,1,29.3,5.7,30.6,90,406.3,94.0,3,0,63.7,214.0,0.34,Coolant Loop Unit
8.0,15210.0,53677.0,63,63.2,61.6,12,4.82,0.69,0.53,45.4,31.3,1,25.6,5.6,33.0,97,404.4,67.3,11,0,26.9,85.0,0.73,X-Ray Tube Anode
9.1,20385.0,79974.0,81,84.4,74.9,17,5.07,0.87,0.56,51.5,30.1,2,22.9,5.1,38.9,107,405.7,68.9,18,3,5.0,17.0,0.96,X-Ray Tube Anode
7.2,16000.0,46433.0,8,58.3,67.4,9,4.82,0.67,0.38,38.5,29.1,0,25.9,6.4,36.1,95,404.1,73.0,8,0,33.7,124.0,0.62,X-Ray Tube Anode
11.6,22269.0,82778.0,173,78.4,77.7,15,5.38,0.76,0.67,53.9,31.4,1,25.4,5.1,38.8,107,380.4,60.0,14,3,5.0,17.0,0.95,X-Ray Tube Anode
4.8,11035.0,28503.0,27,40.8,56.5,9,4.67,0.44,0.31,39.1,28.9,4,29.4,6.0,35.8,98,402.6,79.3,6,1,38.7,134.0,0.61,Coolant Loop Unit
3.8,8020.0,26525.0,52,26.3,41.0,6,4.55,0.36,0.33,42.0,25.5,0,27.8,6.6,25.8,78,396.9,91.2,6,1,54.3,180.0,0.47,Coolant Loop Unit
10.5,23783.0,61974.0,146,93.8,90.5,20,5.37,0.84,0.68,49.2,32.5,1,21.7,4.3,41.1,116,417.1,59.6,17,3,5.0,14.0,0.92,X-Ray Tube Anode
3.1,7329.0,28590.0,91,20.8,41.3,3,4.69,0.36,0.3,40.0,24.8,1,32.1,6.1,29.7,84,388.1,87.2,4,1,56.6,195.0,0.45,Coolant Loop Unit
11.6,22214.0,81071.0,86,95.6,78.0,19,5.26,0.98,0.56,49.4,33.3,0,20.5,5.5,43.2,123,390.2,55.2,16,5,5.0,17.0,0.96,X-Ray Tube Anode
0.6,1160.0,4045.0,16,5.0,29.0,0,4.23,0.15,0.09,37.0,22.8,1,32.6,7.8,22.5,68,400.8,94.6,5,0,69.9,234.0,0.32,Coolant Loop Unit
11.7,27332.0,102108.0,66,98.0,90.9,20,5.36,0.9,0.72,48.9,30.2,1,21.2,6.0,41.6,114,390.2,57.8,18,3,5.0,22.0,0.94,X-Ray Tube Anode
1.0,2219.0,7702.0,5,8.7,17.5,2,4.48,0.11,0.01,35.7,24.8,1,30.5,8.7,23.1,64,420.3,95.7,4,1,77.0,263.0,0.25,Coolant Loop Unit
10.7,24611.0,97296.0,82,98.0,88.8,19,5.58,0.96,0.64,46.9,30.8,2,23.4,5.3,43.7,115,404.4,60.7,20,7,5.0,27.0,0.93,X-Ray Tube Anode
6.6,15677.0,55982.0,131,76.8,65.4,17,5.19,0.83,0.42,42.7,29.1,1,26.1,5.1,37.4,106,395.3,77.5,11,3,7.4,28.0,0.88,X-Ray Tube Anode
11.9,28153.0,109428.0,118,98.0,93.3,21,5.56,0.88,0.9,50.3,33.3,0,23.7,4.8,42.1,114,403.1,64.3,18,3,5.0,11.0,0.96,X-Ray Tube Anode
1.3,3335.0,10924.0,81,5.0,24.4,4,4.29,0.18,0.09,35.7,25.9,0,36.0,6.3,24.8,76,401.8,93.7,3,0,76.5,261.0,0.23,Coolant Loop Unit
6.9,14942.0,39978.0,70,56.8,68.8,10,4.86,0.59,0.35,44.1,29.9,1,26.2,6.0,36.3,109,394.8,73.5,7,1,32.0,103.0,0.7,X-Ray Tube Anode
11.6,24947.0,82133.0,115,95.3,80.4,22,5.52,0.95,0.73,51.1,34.3,0,21.9,5.1,42.1,127,389.7,62.4,19,3,5.0,27.0,0.93,X-Ray Tube Anode
6.5,13561.0,36484.0,7,57.2,62.2,11,4.96,0.63,0.41,49.6,29.5,1,28.5,6.5,33.8,94,391.0,73.4,8,0,29.0,94.0,0.7,X-Ray Tube Anode
7.7,14761.0,50021.0,50,61.5,57.3,11,4.83,0.67,0.4,51.7,30.7,1,27.6,5.9,36.1,103,396.4,76.9,7,5,14.5,55.0,0.85,X-Ray Tube Anode
8.5,18709.0,60314.0,142,70.2,71.4,17,5.19,0.7,0.54,45.4,31.0,0,25.9,5.3,37.4,109,407.9,63.7,15,0,15.5,57.0,0.86,X-Ray Tube Anode
5.7,11420.0,39213.0,166,40.4,52.7,11,4.65,0.49,0.43,42.0,31.5,1,26.7,5.0,33.4,96,404.9,82.0,6,1,36.4,120.0,0.61,Coolant Loop Unit
7.7,18867.0,47452.0,111,67.5,71.7,13,4.96,0.59,0.61,51.7,32.2,3,26.1,5.7,37.0,104,417.5,69.2,11,2,7.6,27.0,0.95,X-Ray Tube Anode
7.2,15943.0,44516.0,47,42.5,56.1,8,4.84,0.46,0.52,47.5,28.8,2,27.1,6.6,32.1,90,393.2,70.8,9,0,40.7,140.0,0.58,X-Ray Tube Anode
10.9,24062.0,77889.0,112,85.9,87.2,19,5.22,0.88,0.6,51.5,33.4,2,22.1,4.9,41.7,112,390.4,62.2,19,3,5.0,21.0,0.94,X-Ray Tube Anode
1.0,2095.0,8224.0,161,15.3,22.3,4,4.44,0.22,0.34,43.6,24.3,1,31.9,6.1,24.6,80,398.7,98.2,4,0,62.1,212.0,0.38,Coolant Loop Unit
3.7,6852.0,21072.0,43,39.1,44.3,7,4.77,0.36,0.32,41.4,26.9,0,31.9,6.5,26.4,77,403.4,88.0,6,0,50.2,167.0,0.48,X-Ray Tube Anode
11.4,20827.0,65327.0,91,94.1,89.6,21,5.21,0.98,0.65,48.7,30.8,1,22.8,4.3,42.6,119,403.7,56.9,17,3,5.0,20.0,0.96,X-Ray Tube Anode
10.7,22511.0,80409.0,29,97.3,88.1,21,5.43,0.91,0.56,48.6,31.4,2,22.9,5.8,44.6,127,402.9,64.0,17,5,5.0,20.0,0.96,X-Ray Tube Anode
5.7,10672.0,36345.0,128,34.6,38.0,5,4.82,0.41,0.41,43.4,29.7,1,26.0,6.2,24.6,74,401.7,76.4,3,2,51.3,170.0,0.47,Coolant Loop Unit
7.6,16979.0,50059.0,133,58.5,62.0,11,4.76,0.63,0.46,48.8,27.6,0,25.7,5.2,34.8,94,395.6,71.5,8,0,31.8,97.0,0.69,X-Ray Tube Anode
3.7,8917.0,27788.0,96,21.2,33.0,6,4.52,0.29,0.27,37.1,25.0,0,31.4,6.6,25.5,69,396.7,84.4,5,0,58.1,200.0,0.43,Coolant Loop Unit
2.7,6440.0,18204.0,117,21.1,32.6,2,4.33,0.35,0.09,40.6,25.8,1,31.3,6.9,26.9,80,412.6,89.2,3,0,67.0,230.0,0.34,Coolant Loop Unit
5.8,13189.0,52085.0,70,53.5,63.6,12,4.99,0.58,0.3,36.0,29.5,2,29.8,5.4,36.5,95,390.5,77.0,9,0,34.0,118.0,0.68,X-Ray Tube Anode
4.6,8889.0,23965.0,130,27.5,37.4,3,4.68,0.37,0.32,42.5,27.1,0,28.1,6.0,28.6,81,402.0,83.6,1,0,59.3,208.0,0.42,Coolant Loop Unit
7.2,17338.0,53017.0,70,72.8,61.5,15,5.02,0.75,0.59,47.0,28.7,0,25.8,5.3,31.0,98,409.3,69.7,13,1,12.9,48.0,0.88,X-Ray Tube Anode
1.4,3374.0,8565.0,110,18.7,24.3,2,4.76,0.3,0.19,34.7,25.6,2,30.1,6.4,20.6,65,391.9,95.9,3,3,56.4,198.0,0.41,Coolant Loop Unit
11.7,22681.0,64249.0,171,86.9,88.0,17,5.41,0.95,0.71,44.4,34.3,2,23.2,4.2,37.5,103,391.8,56.5,17,6,5.0,21.0,0.92,X-Ray Tube Anode
11.8,27427.0,100677.0,132,98.0,97.8,21,5.48,0.99,0.78,48.8,35.6,3,20.7,4.7,44.5,119,402.3,54.4,19,5,5.0,18.0,0.94,X-Ray Tube Anode
8.5,17063.0,47805.0,56,79.3,79.3,15,5.25,0.85,0.47,45.5,31.1,1,21.7,5.8,35.8,97,403.4,72.2,10,7,5.0,11.0,0.96,X-Ray Tube Anode
6.7,15742.0,41245.0,89,63.2,61.6,14,5.11,0.74,0.49,44.0,30.3,2,26.8,6.2,29.5,87,397.5,81.3,10,1,18.6,71.0,0.82,X-Ray Tube Anode
